scenario,gradation,year,stationary,nonstationary,delta
rising,constant,0,0.3778958333333333,0.3725,-0.005395833333333322
rising,constant,2,0.3738125,0.3803125,0.006500000000000006
rising,constant,4,0.3766875,0.3831041666666667,0.006416666666666682
rising,constant,6,0.37454166666666666,0.38627083333333334,0.01172916666666668
rising,constant,8,0.3745625,0.3885625,0.013999999999999957
rising,constant,10,0.3727083333333333,0.3958333333333333,0.023125000000000007
rising,constant,12,0.3737916666666667,0.4023333333333333,0.028541666666666632
rising,constant,14,0.37366666666666665,0.4040625,0.030395833333333344
rising,constant,16,0.3714166666666667,0.409125,0.037708333333333344
rising,constant,18,0.3759375,0.41322916666666665,0.03729166666666667
rising,constant,20,0.37414583333333334,0.4229375,0.04879166666666668
rising,constant,22,0.3738958333333333,0.42725,0.0533541666666667
rising,constant,24,0.3710625,0.42995833333333333,0.058895833333333314
rising,constant,26,0.374625,0.4374375,0.0628125
rising,constant,28,0.3734375,0.44266666666666665,0.06922916666666667
rising,constant,30,0.37472916666666667,0.4468958333333333,0.07216666666666666
rising,constant,32,0.37335416666666665,0.45099999999999996,0.0776458333333333
rising,constant,34,0.37527083333333333,0.4638125,0.08854166666666669
rising,constant,36,0.376,0.46827083333333336,0.09227083333333336
rising,constant,38,0.36970833333333336,0.47760416666666666,0.1078958333333333
rising,constant,40,0.3743125,0.48393749999999996,0.10962499999999997
rising,constant,42,0.37089583333333337,0.49247916666666663,0.12158333333333327
rising,constant,44,0.3744791666666667,0.4994375,0.12495833333333328
rising,constant,46,0.37197916666666664,0.510375,0.13839583333333338
rising,constant,48,0.3693958333333333,0.5166041666666666,0.14720833333333333
rising,constant,50,0.37322916666666667,0.5258541666666666,0.15262499999999996
rising,fines_accumulation,0,0.37324999999999997,0.3738125,0.0005625000000000213
rising,fines_accumulation,2,0.3740833333333333,0.37354166666666666,-0.0005416666666666625
rising,fines_accumulation,4,0.370375,0.3755625,0.0051875000000000115
rising,fines_accumulation,6,0.3700833333333333,0.3774375,0.007354166666666662
rising,fines_accumulation,8,0.3754375,0.3800625,0.004625000000000046
rising,fines_accumulation,10,0.3719375,0.3807291666666667,0.008791666666666698
rising,fines_accumulation,12,0.37295833333333334,0.3827291666666667,0.00977083333333334
rising,fines_accumulation,14,0.374125,0.38616666666666666,0.012041666666666673
rising,fines_accumulation,16,0.375375,0.3834166666666667,0.00804166666666667
rising,fines_accumulation,18,0.3735625,0.38568749999999996,0.012124999999999941
rising,fines_accumulation,20,0.37364583333333334,0.38760416666666664,0.013958333333333295
rising,fines_accumulation,22,0.370375,0.3886875,0.01831250000000001
rising,fines_accumulation,24,0.3701666666666667,0.3962291666666667,0.02606249999999999
rising,fines_accumulation,26,0.3748125,0.393,0.018187500000000023
rising,fines_accumulation,28,0.3749166666666666,0.397625,0.022708333333333386
rising,fines_accumulation,30,0.37374999999999997,0.4035625,0.02981250000000002
rising,fines_accumulation,32,0.371625,0.40700000000000003,0.035375000000000045
rising,fines_accumulation,34,0.37272916666666667,0.4081458333333333,0.03541666666666665
rising,fines_accumulation,36,0.3756041666666667,0.4126458333333333,0.03704166666666664
rising,fines_accumulation,38,0.37506249999999997,0.4171875,0.042125000000000024
rising,fines_accumulation,40,0.3745,0.4277708333333333,0.05327083333333332
rising,fines_accumulation,42,0.37495833333333334,0.4311875,0.05622916666666666
rising,fines_accumulation,44,0.37352083333333336,0.43635416666666665,0.0628333333333333
rising,fines_accumulation,46,0.37404166666666666,0.4422083333333333,0.06816666666666665
rising,fines_accumulation,48,0.3735,0.44875,0.07524999999999998
rising,fines_accumulation,50,0.3730833333333333,0.456125,0.08304166666666668
rising,fines_washout,0,0.3725,0.37366666666666665,0.0011666666666666492
rising,fines_washout,2,0.37514583333333335,0.3792083333333333,0.004062499999999969
rising,fines_washout,4,0.37383333333333335,0.3854166666666667,0.011583333333333334
rising,fines_washout,6,0.37379166666666663,0.39264583333333336,0.018854166666666727
rising,fines_washout,8,0.3729791666666667,0.40041666666666664,0.027437499999999948
rising,fines_washout,10,0.37685416666666666,0.4098125,0.03295833333333337
rising,fines_washout,12,0.37322916666666667,0.4144375,0.04120833333333335
rising,fines_washout,14,0.3723958333333333,0.42289583333333336,0.050500000000000045
rising,fines_washout,16,0.37193750000000003,0.4278541666666667,0.05591666666666667
rising,fines_washout,18,0.37414583333333334,0.4378125,0.06366666666666665
rising,fines_washout,20,0.3706666666666667,0.443375,0.07270833333333332
rising,fines_washout,22,0.37404166666666666,0.4486041666666667,0.07456250000000003
rising,fines_washout,24,0.3695625,0.4600416666666667,0.09047916666666667
rising,fines_washout,26,0.3729375,0.464875,0.0919375
rising,fines_washout,28,0.3750208333333333,0.47472916666666665,0.09970833333333334
rising,fines_washout,30,0.371875,0.47958333333333336,0.10770833333333335
rising,fines_washout,32,0.37685416666666666,0.49202083333333335,0.1151666666666667
rising,fines_washout,34,0.373,0.49985416666666665,0.12685416666666666
rising,fines_washout,36,0.37525,0.5096458333333334,0.13439583333333338
rising,fines_washout,38,0.372875,0.5191875,0.1463125
rising,fines_washout,40,0.37466666666666665,0.5263125,0.1516458333333333
rising,fines_washout,42,0.3735,0.5343125,0.16081249999999997
rising,fines_washout,44,0.3753958333333334,0.5445416666666667,0.16914583333333333
rising,fines_washout,46,0.3698125,0.5543958333333333,0.18458333333333332
rising,fines_washout,48,0.37397916666666664,0.5634166666666667,0.18943750000000004
rising,fines_washout,50,0.37045833333333333,0.5712291666666667,0.20077083333333334
seasonal,constant,0,0.3742083333333333,0.374,-0.0002083333333333104
seasonal,constant,2,0.3768125,0.3487708333333333,-0.028041666666666687
seasonal,constant,4,0.37364583333333334,0.358875,-0.014770833333333344
seasonal,constant,6,0.37043750000000003,0.3968333333333333,0.026395833333333285
seasonal,constant,8,0.37445833333333334,0.41191666666666665,0.037458333333333316
seasonal,constant,10,0.3725625,0.38016666666666665,0.007604166666666634
seasonal,constant,12,0.375,0.3544583333333333,-0.02054166666666668
seasonal,constant,14,0.3750833333333333,0.36485416666666665,-0.010229166666666678
seasonal,constant,16,0.37264583333333334,0.3999375,0.02729166666666666
seasonal,constant,18,0.37814583333333335,0.41560416666666666,0.037458333333333316
seasonal,constant,20,0.3725833333333333,0.38889583333333333,0.016312500000000008
seasonal,constant,22,0.37439583333333337,0.35941666666666666,-0.01497916666666671
seasonal,constant,24,0.37354166666666666,0.3735,-4.166666666666208e-05
seasonal,constant,26,0.37402083333333336,0.40727083333333336,0.03325
seasonal,constant,28,0.36993750000000003,0.4215,0.051562499999999956
seasonal,constant,30,0.3685833333333333,0.3955625,0.026979166666666665
seasonal,constant,32,0.3726875,0.36835416666666665,-0.004333333333333356
seasonal,constant,34,0.37035416666666665,0.376375,0.006020833333333364
seasonal,constant,36,0.37606249999999997,0.4145625,0.038500000000000034
seasonal,constant,38,0.37364583333333334,0.4290833333333333,0.05543749999999997
seasonal,constant,40,0.3739375,0.3974375,0.02350000000000002
seasonal,constant,42,0.3725208333333333,0.3718958333333333,-0.0006249999999999867
seasonal,constant,44,0.3725,0.38152083333333336,0.009020833333333367
seasonal,constant,46,0.3743125,0.4245625,0.05025000000000002
seasonal,constant,48,0.3737916666666667,0.4344375,0.06064583333333329
seasonal,constant,50,0.375875,0.407,0.031124999999999958
seasonal,fines_accumulation,0,0.37464583333333334,0.37252083333333336,-0.002124999999999988
seasonal,fines_accumulation,2,0.3738125,0.3474583333333333,-0.02635416666666668
seasonal,fines_accumulation,4,0.3704375,0.35252083333333334,-0.017916666666666636
seasonal,fines_accumulation,6,0.37204166666666666,0.38145833333333334,0.009416666666666684
seasonal,fines_accumulation,8,0.3762083333333333,0.3963125,0.0201041666666667
seasonal,fines_accumulation,10,0.37322916666666667,0.3638958333333333,-0.00933333333333336
seasonal,fines_accumulation,12,0.37335416666666665,0.33825,-0.03510416666666666
seasonal,fines_accumulation,14,0.3721041666666667,0.3443333333333333,-0.027770833333333356
seasonal,fines_accumulation,16,0.3749375,0.37479166666666663,-0.00014583333333334503
seasonal,fines_accumulation,18,0.37529166666666663,0.38245833333333334,0.00716666666666671
seasonal,fines_accumulation,20,0.37245833333333334,0.3526458333333333,-0.01981250000000001
seasonal,fines_accumulation,22,0.375375,0.3291875,-0.04618749999999999
seasonal,fines_accumulation,24,0.3753125,0.3383125,-0.03699999999999998
seasonal,fines_accumulation,26,0.37402083333333336,0.367375,-0.006645833333333351
seasonal,fines_accumulation,28,0.3723125,0.37335416666666665,0.001041666666666663
seasonal,fines_accumulation,30,0.37189583333333337,0.34741666666666665,-0.02447916666666672
seasonal,fines_accumulation,32,0.3745,0.3197291666666667,-0.054770833333333324
seasonal,fines_accumulation,34,0.37112500000000004,0.3256041666666667,-0.045520833333333344
seasonal,fines_accumulation,36,0.3721875,0.3570833333333333,-0.015104166666666696
seasonal,fines_accumulation,38,0.3773958333333333,0.37064583333333334,-0.006749999999999978
seasonal,fines_accumulation,40,0.37206249999999996,0.337125,-0.034937499999999955
seasonal,fines_accumulation,42,0.3735,0.30825,-0.06524999999999997
seasonal,fines_accumulation,44,0.37206249999999996,0.31435416666666666,-0.057708333333333306
seasonal,fines_accumulation,46,0.37354166666666666,0.3516458333333333,-0.021895833333333337
seasonal,fines_accumulation,48,0.3738958333333333,0.3624583333333333,-0.01143749999999999
seasonal,fines_accumulation,50,0.37314583333333334,0.3292083333333333,-0.04393750000000002
seasonal,fines_washout,0,0.3769375,0.37147916666666664,-0.005458333333333343
seasonal,fines_washout,2,0.372875,0.3475,-0.025375000000000036
seasonal,fines_washout,4,0.37379166666666663,0.36502083333333335,-0.008770833333333283
seasonal,fines_washout,6,0.37314583333333334,0.4023541666666667,0.029208333333333336
seasonal,fines_washout,8,0.37347916666666664,0.4165625,0.04308333333333336
seasonal,fines_washout,10,0.37164583333333334,0.39216666666666666,0.02052083333333332
seasonal,fines_washout,12,0.375375,0.3667708333333333,-0.00860416666666669
seasonal,fines_washout,14,0.3763125,0.38035416666666666,0.004041666666666666
seasonal,fines_washout,16,0.3753125,0.41914583333333333,0.043833333333333335
seasonal,fines_washout,18,0.3710833333333333,0.4376875,0.06660416666666669
seasonal,fines_washout,20,0.37579166666666663,0.40787500000000004,0.03208333333333341
seasonal,fines_washout,22,0.37185416666666665,0.38577083333333334,0.013916666666666688
seasonal,fines_washout,24,0.3746666666666667,0.397625,0.022958333333333303
seasonal,fines_washout,26,0.37083333333333335,0.4367083333333333,0.06587499999999996
seasonal,fines_washout,28,0.3752083333333333,0.45260416666666664,0.07739583333333333
seasonal,fines_washout,30,0.37227083333333333,0.43066666666666664,0.058395833333333313
seasonal,fines_washout,32,0.37352083333333336,0.4054583333333333,0.03193749999999995
seasonal,fines_washout,34,0.37275,0.4169791666666667,0.04422916666666665
seasonal,fines_washout,36,0.37245833333333334,0.45316666666666666,0.08070833333333333
seasonal,fines_washout,38,0.3734375,0.47239583333333335,0.09895833333333337
seasonal,fines_washout,40,0.3757083333333333,0.44604166666666667,0.07033333333333336
seasonal,fines_washout,42,0.375375,0.4204791666666667,0.04510416666666667
seasonal,fines_washout,44,0.3728541666666667,0.4370833333333333,0.06422916666666662
seasonal,fines_washout,46,0.37274999999999997,0.474375,0.10162500000000002
seasonal,fines_washout,48,0.373125,0.48602083333333335,0.11289583333333336
seasonal,fines_washout,50,0.374625,0.4611041666666667,0.08647916666666672
stationary,constant,0,0.37335416666666665,0.3706666666666667,-0.002687499999999954
stationary,constant,2,0.3735833333333333,0.3718333333333333,-0.0017500000000000293
stationary,constant,4,0.37245833333333334,0.36929166666666663,-0.0031666666666667065
stationary,constant,6,0.37483333333333335,0.3697083333333333,-0.005125000000000046
stationary,constant,8,0.3707916666666667,0.37466666666666665,0.003874999999999962
stationary,constant,10,0.374,0.37577083333333333,0.0017708333333333326
stationary,constant,12,0.3745,0.3783958333333333,0.0038958333333333206
stationary,constant,14,0.37156249999999996,0.3720833333333333,0.0005208333333333592
stationary,constant,16,0.3744791666666667,0.3739166666666667,-0.0005625000000000213
stationary,constant,18,0.36972916666666666,0.3765,0.006770833333333337
stationary,constant,20,0.3759375,0.37239583333333337,-0.0035416666666666097
stationary,constant,22,0.3785208333333333,0.37385416666666665,-0.004666666666666652
stationary,constant,24,0.3725833333333333,0.3737083333333333,0.0011249999999999871
stationary,constant,26,0.3736041666666667,0.37433333333333335,0.0007291666666666696
stationary,constant,28,0.37564583333333335,0.37372916666666667,-0.0019166666666666776
stationary,constant,30,0.3713125,0.37785416666666666,0.006541666666666668
stationary,constant,32,0.3713958333333333,0.37495833333333334,0.003562500000000024
stationary,constant,34,0.37452083333333336,0.37406249999999996,-0.0004583333333333939
stationary,constant,36,0.37204166666666666,0.3727916666666667,0.0007500000000000284
stationary,constant,38,0.373125,0.3745833333333333,0.0014583333333333393
stationary,constant,40,0.37274999999999997,0.3747083333333333,0.0019583333333333397
stationary,constant,42,0.37172916666666667,0.371625,-0.00010416666666668295
stationary,constant,44,0.37335416666666665,0.377375,0.004020833333333362
stationary,constant,46,0.37354166666666666,0.374,0.00045833333333333837
stationary,constant,48,0.373,0.37195833333333334,-0.001041666666666663
stationary,constant,50,0.376875,0.379375,0.0025000000000000022
stationary,fines_accumulation,0,0.37277083333333333,0.3748125,0.002041666666666664
stationary,fines_accumulation,2,0.37564583333333335,0.3723125,-0.003333333333333355
stationary,fines_accumulation,4,0.3730208333333333,0.36545833333333333,-0.007562499999999972
stationary,fines_accumulation,6,0.37685416666666666,0.36491666666666667,-0.01193749999999999
stationary,fines_accumulation,8,0.3711666666666667,0.3616875,-0.009479166666666705
stationary,fines_accumulation,10,0.373,0.35860416666666667,-0.01439583333333333
stationary,fines_accumulation,12,0.374,0.3558125,-0.018187500000000023
stationary,fines_accumulation,14,0.3695,0.35312499999999997,-0.01637500000000003
stationary,fines_accumulation,16,0.374875,0.34970833333333334,-0.02516666666666667
stationary,fines_accumulation,18,0.372125,0.345875,-0.026249999999999996
stationary,fines_accumulation,20,0.3718125,0.339625,-0.03218749999999998
stationary,fines_accumulation,22,0.3720833333333333,0.33710416666666665,-0.03497916666666667
stationary,fines_accumulation,24,0.37164583333333334,0.3385625,-0.03308333333333335
stationary,fines_accumulation,26,0.3710833333333333,0.3321875,-0.038895833333333296
stationary,fines_accumulation,28,0.37233333333333335,0.32779166666666665,-0.0445416666666667
stationary,fines_accumulation,30,0.37422916666666667,0.32397916666666665,-0.05025000000000002
stationary,fines_accumulation,32,0.374125,0.3276875,-0.046437499999999965
stationary,fines_accumulation,34,0.37093750000000003,0.32214583333333335,-0.04879166666666668
stationary,fines_accumulation,36,0.37452083333333336,0.319625,-0.054895833333333366
stationary,fines_accumulation,38,0.37254166666666666,0.3139791666666667,-0.05856249999999996
stationary,fines_accumulation,40,0.3731875,0.3119166666666667,-0.06127083333333333
stationary,fines_accumulation,42,0.36943750000000003,0.3101041666666667,-0.05933333333333335
stationary,fines_accumulation,44,0.37322916666666667,0.30485416666666665,-0.06837500000000002
stationary,fines_accumulation,46,0.37543750000000004,0.30220833333333336,-0.07322916666666668
stationary,fines_accumulation,48,0.37389583333333337,0.29716666666666663,-0.07672916666666674
stationary,fines_accumulation,50,0.37245833333333334,0.29822916666666666,-0.07422916666666668
stationary,fines_washout,0,0.3720625,0.37372916666666667,0.0016666666666666496
stationary,fines_washout,2,0.37683333333333335,0.3773333333333333,0.0004999999999999449
stationary,fines_washout,4,0.37383333333333335,0.37535416666666666,0.0015208333333333046
stationary,fines_washout,6,0.3720833333333333,0.380125,0.00804166666666667
stationary,fines_washout,8,0.3744375,0.3817083333333333,0.0072708333333333375
stationary,fines_washout,10,0.36985416666666665,0.3882916666666667,0.01843750000000005
stationary,fines_washout,12,0.37383333333333335,0.388,0.01416666666666666
stationary,fines_washout,14,0.3720625,0.39127083333333335,0.019208333333333327
stationary,fines_washout,16,0.37320833333333336,0.39045833333333335,0.017249999999999988
stationary,fines_washout,18,0.37454166666666666,0.39237500000000003,0.017833333333333368
stationary,fines_washout,20,0.3737083333333333,0.39618749999999997,0.02247916666666666
